Date,Open,High,Low,Close,Adj Close,Volume
2009-04-20,66.019997,66.419998,65.180000,65.290001,50.147820,31874800
2009-04-21,65.290001,66.279999,64.870003,66.230003,50.869820,32234400
2009-04-22,65.639999,65.839996,64.559998,64.750000,49.733059,31076500
2009-04-23,65.309998,65.760002,64.500000,65.709999,50.470421,29213500
2009-04-24,66.209999,67.000000,65.910004,66.570000,51.130966,32347600
2009-04-27,65.290001,66.650002,65.050003,66.129997,50.793007,26586500
2009-04-28,65.360001,67.730003,65.360001,67.080002,51.522678,27421000
2009-04-29,67.320000,68.629997,67.110001,68.440002,52.567280,28974900
2009-04-30,68.639999,68.739998,66.220001,66.669998,51.207771,35088500
2009-05-01,67.129997,68.059998,66.080002,68.010002,52.237022,27385000
2009-05-04,68.500000,68.910004,67.669998,68.199997,52.382935,27306100
2009-05-05,68.080002,68.320000,67.160004,67.650002,51.960491,19910300
2009-05-06,68.040001,68.599998,67.440002,68.580002,52.674809,30814800
2009-05-07,69.000000,69.040001,67.620003,68.930000,52.943634,32541600
2009-05-08,69.400002,71.230003,69.389999,70.800003,54.379936,35886400
2009-05-11,69.480003,69.639999,68.839996,69.269997,53.522285,23715900
2009-05-12,69.769997,71.199997,69.550003,70.820000,54.719894,28337300
2009-05-13,69.980003,70.570000,69.430000,69.769997,53.908600,26011900
2009-05-14,69.519997,70.080002,65.599998,69.760002,53.900887,21298100
2009-05-15,69.309998,69.750000,68.589996,69.110001,53.398666,26714600
2009-05-18,69.739998,70.760002,69.500000,70.500000,54.472645,25071900
2009-05-19,70.309998,71.129997,70.070000,70.519997,54.488098,20851500
2009-05-20,71.000000,71.389999,69.349998,69.610001,53.784992,28550700
2009-05-21,68.720001,68.980003,67.989998,68.389999,52.842335,24029200
2009-05-22,68.620003,69.680000,68.389999,68.830002,53.182316,18624200
2009-05-26,68.389999,69.949997,67.910004,69.809998,53.939499,29405600
2009-05-27,69.800003,70.620003,68.169998,68.300003,52.772812,23010500
2009-05-28,68.540001,69.800003,68.129997,69.230003,53.491375,27800500
2009-05-29,69.800003,70.250000,68.949997,69.349998,53.584103,33192400
2009-06-01,70.459999,72.040001,70.250000,71.760002,55.446198,31804200
2009-06-02,71.440002,73.209999,71.440002,72.919998,56.342495,28676700
2009-06-03,72.389999,72.449997,71.330002,72.080002,55.693443,29755400
2009-06-04,72.669998,73.050003,72.070000,72.980003,56.388874,25934100
2009-06-05,73.250000,73.500000,72.029999,72.970001,56.381134,26481100
2009-06-08,72.480003,73.690002,72.000000,73.169998,56.535648,23300300
2009-06-09,73.559998,73.820000,72.370003,73.120003,56.497028,21944500
2009-06-10,73.970001,74.120003,72.839996,73.839996,57.053356,27360200
2009-06-11,74.000000,74.830002,73.120003,74.050003,57.215595,30857000
2009-06-12,73.430000,74.160004,73.099998,73.779999,57.006989,21693200
2009-06-15,72.639999,72.959999,72.250000,72.809998,56.257484,27871600
2009-06-16,73.339996,73.430000,71.580002,71.629997,55.345768,24218800
